Input,Output
You are never going to believe what I did,What did you do? 
You are never going to believe what I did <sep> What did you do? ,Well_comma_ I normally do not feel comfortable lending things to my friends_comma_ but recently I mustered up the trust to loan my friend my vehicle.
feel comfortable lending things to my friends_comma_ but recently I mustered up the trust to loan my friend my vehicle.,Ouch... Is it just for a day? Is your friend a safe driver?
to loan my friend my vehicle. <sep> Ouch... Is it just for a day? Is your friend a safe driver?,Well_comma_ I have known him for a while and I have never seen him drive crazy_comma_ so im just hoping all goes well.  It is just for a day_comma_ but a lot can happen in a day.
just hoping all goes well.  It is just for a day_comma_ but a lot can happen in a day.,Yes... If this makes you feel better.. I lent my car to a friend for a week and thank goodness everything was alright. 
I went shopping yesterday and bought a $2000 bag. My husband is going to kill me..,Haha my girlfriend does the same thing.  Check comes in and she is so happy to have money for the next two weeks_comma_ then goes and spends it all on clothing and accessories.  
to have money for the next two weeks_comma_ then goes and spends it all on clothing and accessories.  ,All women have the same problem. It is a guilty pleasure..
it all on clothing and accessories.   <sep> All women have the same problem. It is a guilty pleasure..,We all deserve to treat ourselves every now and then.
I hate to be tired and see a store crowded with customers and only one or two checkouts open.,Yeah it's really frustrating when they won't have more eople on. 
and only one or two checkouts open. <sep> Yeah it's really frustrating when they won't have more eople on. ,Especially when it's a time of day that they know will be crowded and busy.
more eople on.  <sep> Especially when it's a time of day that they know will be crowded and busy.,Exactly. Hopefully more places will get self-checkout so we can get through the line faster. 
crowded and busy. <sep> Exactly. Hopefully more places will get self-checkout so we can get through the line faster. ,I don't mind those sometimes_comma_ sometimes I prefer they do it.
the amount of work that they usually do. Sounded like they need to fire whoever didn't do their job ,Yeah_comma_ or at least do something to correct that.
they need to fire whoever didn't do their job  <sep> Yeah_comma_ or at least do something to correct that.,Maybe there should be a training day where they do back over everything_comma_ 
do something to correct that. <sep> Maybe there should be a training day where they do back over everything_comma_ ,or hire more people maybe also
there should be a training day where they do back over everything_comma_  <sep> or hire more people maybe also,That too! If only
day where they do back over everything_comma_  <sep> or hire more people maybe also <sep> That too! If only,They don't spend money unless they absolutely have to. They get bonuses for saving money I think
So our new manager has changed our bonus structure causing us to never hit bonus..,And then what?
So our new manager has changed our bonus structure causing us to never hit bonus.. <sep> And then what?,Its frustrating when I go from 24 an hour to 10 an hour because of his lies. 
what? <sep> Its frustrating when I go from 24 an hour to 10 an hour because of his lies. ,I understand_comma_ that must suck
I had a chance to make some money_comma_ but my phone screwed up,Thats terrible... have you gotten a new phone yet? 
to make some money_comma_ but my phone screwed up <sep> Thats terrible... have you gotten a new phone yet? ,yes i did_comma_ but i still can not get that money
have you gotten a new phone yet?  <sep> yes i did_comma_ but i still can not get that money,Thats true_comma_ but I hope some good luck comes your way soon..
Last year I was so excited to be moving.,oh well_comma_ where did you move?
Last year I was so excited to be moving. <sep> oh well_comma_ where did you move?,We moved back to our hometown. We were so looking forward to being near family and friends again.
move? <sep> We moved back to our hometown. We were so looking forward to being near family and friends again.,wow!! wonderful isn't!! you would have been over the moon once you moved..
i bumped into a car while reversing_comma_ i had to wait long to talk to owner of the other car,Oh no_comma_ that's terrible. Sorry you had to deal with that.
to talk to owner of the other car <sep> Oh no_comma_ that's terrible. Sorry you had to deal with that.,It was indeed. the worst part was not able to get hold of him. He parked and wandered somewhere.
<sep> It was indeed. the worst part was not able to get hold of him. He parked and wandered somewhere.,I am sure that threw a wrench in your plans. How frustrating!
of him. He parked and wandered somewhere. <sep> I am sure that threw a wrench in your plans. How frustrating!,Yeah i missed my movie..
was having a bad day the other day but my spouse went and surprised me with my favorite food. ,whats your favorite food? that was very nice of them
went and surprised me with my favorite food.  <sep> whats your favorite food? that was very nice of them,I know it was rather sweet of them... i love anything asian! 
that was very nice of them <sep> I know it was rather sweet of them... i love anything asian! ,oh nice_comma_ im afraid the most asian food that i like is fortune cookies
We just got back from vacation and our sleep times are off. It is really messing with me.,That will mess you up for a few days. The only thing I don't like about going away.
me. <sep> That will mess you up for a few days. The only thing I don't like about going away.,I went to bed at a decent time last night. When I woke up my kids were still up watching cartoons!
went to bed at a decent time last night. When I woke up my kids were still up watching cartoons!,Oh no. Hopefully everybody gets back to normal soon.
I like getting things done in the yard_comma_but I feel so dirty afterwards.,I only like yard work with the kids. They do most of the work and we have fun in the dirt.
only like yard work with the kids. They do most of the work and we have fun in the dirt.,The grass makes me itchy_comma_ But the shower afterward feels great.
work and we have fun in the dirt. <sep> The grass makes me itchy_comma_ But the shower afterward feels great.,Oh no. The shower is the plus side to all the dirt I guess. I once found a snake digging a hole to plant a flower. I quit that day.
other day I had a crazy long day and got home to find all of my chocolate was gone! ,Oh my gosh! I would have been so upset! Nothing is better than chocolates on a bad day.
 <sep> Oh my gosh! I would have been so upset! Nothing is better than chocolates on a bad day.,I know right! ..._comma_ but atleast I had some amaretto in the fridge.. lol 
on a bad day. <sep> I know right! ..._comma_ but atleast I had some amaretto in the fridge.. lol ,That's definitely better than nothing. I hope your days have been better since!
overcame her fear of water and learned to swim! It makes me so happy to see her loving the water.,Thats so special! What a beautiful moment.. How old is she? 
happy to see her loving the water. <sep> Thats so special! What a beautiful moment.. How old is she? ,She is 4. She normally is completely fearless_comma_ compared to my son who is afraid of everything. Haha! So I love that she has worked so hard to overcome this.
my son who is afraid of everything. Haha! So I love that she has worked so hard to overcome this.,"My daughter is 1.5 years old - shes just been introduced to the water.. its always so special when our babies have their ""first"" moments. Congrats mama! "
"just been introduced to the water.. its always so special when our babies have their ""first"" moments. Congrats mama! ",Thank you_comma_ and same to you! I hope you enjoy many happy swimming days with your little princess. 
Hi_comma_ I am concerned about the financial situation of my employer.,Have  you thought about talking to your boss about it?
concerned about the financial situation of my employer. <sep> Have  you thought about talking to your boss about it?,I don't think it is a good idea. There was a layout off six month ago. 
about it? <sep> I don't think it is a good idea. There was a layout off six month ago. ,You should still speak to him about your concerns.
home from work and Marks car was outside. I went in and him and Liz were kissing on the couch.,This is terrible. So sad to hear that. What did you do then?
Liz were kissing on the couch. <sep> This is terrible. So sad to hear that. What did you do then?,I made them both leave but me and Liz are breaking up. 
that. What did you do then? <sep> I made them both leave but me and Liz are breaking up. ,Did she already move out?
<sep> I made them both leave but me and Liz are breaking up.  <sep> Did she already move out?,I asked her to come and pack her bags. Enough is enough I can not do this with her anymore.
Did you go outside and see if anyone was hurt?,What do you mean? I don't know what you are talking about.
outside and see if anyone was hurt? <sep> What do you mean? I don't know what you are talking about.,I heard a noise outside that sounded like a car had wrecked yesterday.
know what you are talking about. <sep> I heard a noise outside that sounded like a car had wrecked yesterday.,Well then I guess you should have went and checked to see if anyone was hurt. I hope you called a ambulance.
So after I left the club last night I noticed the Taxi had old throw up in it still.,I would have gotten out right then I believe.
noticed the Taxi had old throw up in it still. <sep> I would have gotten out right then I believe.,I still took it since it was late but I rode in the front seat.
right then I believe. <sep> I still took it since it was late but I rode in the front seat.,I guess you rolled all the windows down too and held your breath
I rode in the front seat. <sep> I guess you rolled all the windows down too and held your breath,It was gross but I was super tired. I only paid half for the ride though.
want to say is may not it's marriage actually it's my wife given me the hope about the life. ,Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!
life.  <sep> Wao_comma_ that sound like a great strong realtionship you have with her_comma_ so glad to hear that!,Yeah_comma_ thank you! at which situation did you feel hope for your life?
her_comma_ so glad to hear that! <sep> Yeah_comma_ thank you! at which situation did you feel hope for your life?,When my first daugther was born! i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.
i saw in new life_comma_ i thought everything in the world can change_comma_ we need to be pure as kids.,Wow! you're right. We should learn from kids. 
world can change_comma_ we need to be pure as kids. <sep> Wow! you're right. We should learn from kids. ,When i see them_comma_ i believe thiw world in which we live fill with envy and hate can be rewed
I came across an old keychain my dad gave me when I was younger_comma_ it was nice to see. ,Thats good that you found the keychain
